storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
CARQUEST,CarQuest,1000810,1718 S MADISON ST,WHITEVILLE,NC,28472,USA,9106422161,"34.30458,-78.71688","34.30458,-78.71688"
A1 AUTO PARTS AND MACHINE,CarQuest,1000011,3459 HWY 55 E,FALKVILLE,AL,35622,USA,2567961103,"34.34084,-86.80624","34.34084,-86.80624"
Advance Auto Parts,CarQuest,1000225,2706 W OXFORD LOOP SUITE 107,OXFORD,MS,38655-5715,USA,6622347813,"34.3665901253686,-89.5714552594463","34.3665901253686,-89.5714552594463"
CARQUEST,CarQuest,1000648,1011 WEST 7TH ST,CLOVIS,NM,88101,USA,5757692193,"34.4043200820141,-103.245877513651","34.4043200820141,-103.245877513651"
CARQUEST,CarQuest,1001224,436 E GUTIERREZ ST,SANTA BARBARA,CA,93101,USA,8059662201,"34.42039,-119.68913","34.42039,-119.68913"
DAVE GORDON AUTO SUPPLY-LAVONIA,CarQuest,1001358,12284 AUGUSTA ROAD,LAVONIA,GA,30553,USA,7063567278,"34.4354999973984,-83.1072749858217","34.4354999973984,-83.1072749858217"
CARQUEST,CarQuest,1000799,122 MAIN STREET,TAYLOR,AZ,85939,USA,9285364378,"34.4633295137077,-110.09127604082","34.4633295137077,-110.09127604082"
BROWN MCMURTRY IMPLEMENT,CarQuest,1000613,303 LONE STAR,SILVERTON,TX,79257,USA,(806) 823-2441,"34.474185,-101.298345","34.474185,-101.298345"
JACKS AUTO PARTS AND MACHINE,CarQuest,1001605,1551 PALO VERDE BLVD,LAKE HAVASU CITY,AZ,86403,USA,9288553011,"34.4842750308478,-114.340364996686","34.4842750308478,-114.340364996686"
ACTON AUTO PARTS,CarQuest,1000479,3932 A SIERRA HWY,ACTON,CA,93510,USA,6612691111,"34.490005806182,-118.162444515426","34.490005806182,-118.162444515426"
THORNTON SUPPLY,CarQuest,1002081,202 E MAIN   P O BOX 1029,DUNCAN,OK,73534,USA,5802525866,"34.5018692016602,-97.9575424194336","34.5018692016602,-97.9575424194336"
CARQUEST,CarQuest,1000796,1175 W. CLEVELAND,ST. JOHNS,AZ,85936,USA,9283373999,"34.5066141404557,-109.373609995495","34.5066141404557,-109.373609995495"
CENTRAL AUTO PARTS,CarQuest,1000850,7634 PEARBLOSSOM HWY,LITTLEROCK,CA,93543,USA,6619442620,"34.52074,-117.99358","34.52074,-117.99358"
BROWN'S POWER & EQUIPMENT INC,CarQuest,1000615,1400 NORTH US HIGHWAY 87,TULIA,TX,79088,USA,8069954148,"34.5499570032944,-101.781708101481","34.5499570032944,-101.781708101481"
CARQUEST,CarQuest,1000788,2202 NC HIGHWAY 172,SNEADS FERRY,NC,28460,USA,9103274261,"34.5572513315932,-77.4053877806919","34.5572513315932,-77.4053877806919"
CARQUEST,CarQuest,1001127,38333 6TH STREET EAST,PALMDALE,CA,93550,USA,6619472114,"34.57829,-118.11855","34.57829,-118.11855"
