id,make,makefaceted,model,modelfaceted,product,productfaceted,year,yearfaceted,originalequipmentpart,originalequipmentpartfaceted,partnumber,partnumberfaceted,engineliters,enginecc,enginecylinder,engineblock,engineboreinch,engineboremetric,enginestrokeinch,engstrokemetric,engine,enginefaceted,imageprefix,numberofimages,imagesuffix
10000038,Kia,Kia,Sorento,Sorento,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000039,Kia,Kia,Sorento,Sorento,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000040,Kia,Kia,Sorento,Sorento,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000041,Kia,Kia,Sorento,Sorento,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000042,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2011,2011,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000043,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000044,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000045,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G730,353202G730,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000046,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000047,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000048,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2016,2016,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000049,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2016,2016,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000050,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000051,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000052,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000053,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000054,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2016,2016,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000055,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2016,2016,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000056,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000057,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000058,Hyundai,Hyundai,Tucson,Tucson,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000059,Hyundai,Hyundai,Tucson,Tucson,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000060,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000061,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000062,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000063,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000064,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000065,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
